# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
4363.15  0.34   0.46
4364.15  0.43   0.45
4365.16  0.41   0.43
4366.16  0.44   0.44
4367.17  0.51   0.44
4368.17  0.49   0.44
4369.18  0.35   0.44
4370.19  0.11   0.43
4371.19  -0.16  0.42
4372.20  -0.32  0.41
4373.21  -0.26  0.40
4374.21  -0.04  0.42
4375.22  0.15   0.43
4376.23  0.29   0.44
4377.24  0.43   0.44
4378.24  0.42   0.43
4379.25  0.29   0.43
4380.26  0.12   0.42
4381.27  0.05   0.42
4382.28  0.17   0.42
4383.29  0.22   0.42
4384.30  0.14   0.41
4385.31  0.14   0.41
4386.32  0.17   0.42
4387.33  0.01   0.41
4388.34  -0.17  0.41
4389.35  -0.21  0.41
4390.36  -0.32  0.41
4391.37  -0.23  0.40
4392.38  -0.02  0.42
4393.39  -0.03  0.41
4394.40  -0.09  0.41
4395.42  -0.01  0.41
4396.43  0.04   0.41
4397.44  0.16   0.40
4398.45  0.59   0.42
4399.47  0.88   0.44
4400.48  0.77   0.43
4401.49  0.51   0.44
4402.51  0.09   0.44
4403.52  -0.23  0.43
4404.53  -0.05  0.44
4405.55  0.37   0.45
4406.56  0.54   0.45
4407.58  0.34   0.45
4408.59  -0.04  0.44
4409.61  -0.41  0.44
4410.62  -0.60  0.43
4411.64  -0.55  0.42
4412.66  -0.29  0.44
4413.67  -0.03  0.44
4414.69  0.32   0.43
4415.70  0.70   0.45
4416.72  0.55   0.45
4417.74  0.03   0.44
4418.76  -0.19  0.43
4419.77  -0.13  0.43
4420.79  -0.23  0.43
4421.81  -0.42  0.43
4422.83  -0.38  0.43
4423.85  -0.14  0.42
4424.86  0.08   0.42
4425.88  0.29   0.43
4426.90  0.42   0.43
4427.92  0.32   0.43
4428.94  0.17   0.42
4429.96  0.14   0.42
4430.98  0.06   0.41
