# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
5821.03  0.32   0.38
5822.37  0.55   0.38
5823.71  0.66   0.38
5825.05  0.74   0.38
5826.40  0.85   0.39
5827.74  0.87   0.39
5829.08  0.70   0.39
5830.42  0.51   0.39
5831.76  0.39   0.39
5833.11  0.38   0.39
5834.45  0.45   0.40
5835.79  0.51   0.40
5837.14  0.49   0.40
5838.48  0.43   0.40
5839.83  0.36   0.39
5841.17  0.27   0.40
5842.52  0.20   0.40
5843.86  0.14   0.40
5845.21  0.18   0.40
5846.55  0.34   0.41
5847.90  0.49   0.40
5849.25  0.58   0.41
5850.59  0.61   0.41
5851.94  0.68   0.41
5853.29  0.69   0.41
5854.64  0.57   0.41
5855.99  0.49   0.41
5857.33  0.45   0.41
5858.68  0.37   0.41
5860.03  0.33   0.41
5861.38  0.37   0.42
5862.73  0.54   0.42
5864.08  0.48   0.43
5865.43  0.08   0.44
5866.78  0.07   0.48
5868.13  0.44   0.51
5869.48  0.41   0.51
5870.84  0.05   0.47
5872.19  0.06   0.44
5873.54  0.28   0.44
5874.89  0.40   0.44
5876.25  0.47   0.43
5877.60  0.54   0.43
5878.95  0.65   0.41
5880.31  0.77   0.42
5881.66  0.71   0.41
5883.02  0.56   0.41
5884.37  0.33   0.42
5885.73  -0.10  0.41
5887.08  -0.29  0.43
5888.44  -0.10  0.54
5889.79  0.25   0.72
5891.15  0.34   0.91
5892.51  -0.10  0.76
5893.86  -0.52  0.60
5895.22  -0.02  0.61
5896.58  0.99   0.72
5897.94  1.27   0.77
5899.29  0.61   0.59
5900.65  -0.09  0.47
5902.01  -0.18  0.41
5903.37  0.08   0.42
5904.73  0.29   0.43
5906.09  0.32   0.43
5907.45  0.32   0.44
5908.81  0.26   0.44
5910.17  0.13   0.43
5911.53  0.02   0.42
5912.89  -0.12  0.42
5914.25  -0.29  0.43
5915.62  -0.26  0.48
5916.98  -0.07  0.51
5918.34  0.06   0.48
5919.70  0.13   0.44
5921.07  0.12   0.43
5922.43  0.04   0.43
5923.79  0.13   0.44
5925.16  0.27   0.47
5926.52  0.21   0.47
5927.89  0.17   0.46
5929.25  0.22   0.44
5930.62  0.22   0.44
5931.98  0.33   0.46
5933.35  0.68   0.52
5934.72  0.81   0.54
5936.08  0.47   0.50
5937.45  0.01   0.45
5938.82  -0.20  0.44
5940.19  -0.38  0.44
5941.55  -0.49  0.43
5942.92  -0.15  0.44
5944.29  0.18   0.45
5945.66  0.10   0.46
5947.03  -0.02  0.46
5948.40  0.17   0.46
5949.77  0.43   0.45
5951.14  0.37   0.45
5952.51  0.07   0.47
5953.88  -0.04  0.51
5955.25  0.01   0.53
5956.62  -0.08  0.49
5957.99  -0.03  0.45
5959.37  0.20   0.45
5960.74  0.08   0.44
5962.11  -0.12  0.43
5963.48  -0.04  0.44
5964.86  -0.03  0.44
5966.23  -0.14  0.44
5967.60  -0.13  0.44
5968.98  -0.20  0.44
5970.35  -0.24  0.45
5971.73  -0.17  0.46
5973.10  -0.17  0.46
5974.48  -0.04  0.44
5975.85  0.28   0.46
5977.23  0.46   0.47
5978.61  0.41   0.48
5979.98  0.22   0.48
5981.36  -0.05  0.44
5982.74  -0.13  0.43
5984.12  0.04   0.44
5985.49  0.09   0.43
5986.87  0.13   0.44
5988.25  0.16   0.43
5989.63  0.08   0.44
5991.01  0.03   0.44
5992.39  0.27   0.45
5993.77  0.46   0.46
5995.15  0.34   0.44
5996.53  0.28   0.45
5997.91  0.17   0.45
5999.29  -0.02  0.45
6000.67  0.08   0.44
6002.06  0.36   0.44
6003.44  0.47   0.44
6004.82  0.44   0.45
6006.20  0.60   0.46
6007.59  0.75   0.45
6008.97  0.54   0.43
6010.35  0.28   0.42
6011.74  0.32   0.42
6013.12  0.35   0.43
6014.51  0.27   0.42
6015.89  0.27   0.42
6017.28  0.23   0.43
6018.66  0.12   0.42
6020.05  0.17   0.42
6021.44  0.38   0.42
6022.82  0.57   0.42
6024.21  0.50   0.42
6025.60  0.25   0.42
6026.98  0.23   0.41
6028.37  0.43   0.43
6029.76  0.48   0.43
6031.15  0.41   0.43
6032.54  0.34   0.42
6033.93  0.42   0.43
6035.32  0.64   0.44
6036.71  0.66   0.43
6038.10  0.55   0.43
6039.49  0.58   0.42
6040.88  0.61   0.42
6042.27  0.60   0.42
6043.66  0.70   0.42
6045.05  0.78   0.43
6046.44  0.78   0.42
6047.84  0.91   0.42
6049.23  1.01   0.43
6050.62  0.78   0.42
6052.01  0.54   0.41
6053.41  0.45   0.42
6054.80  0.24   0.41
6056.20  -0.25  0.40
6057.59  -0.65  0.40
6058.99  -0.56  0.40
6060.38  0.03   0.40
6061.78  0.66   0.41
6063.17  0.80   0.41
6064.57  0.72   0.40
6065.97  0.90   0.41
6067.36  1.20   0.42
6068.76  1.37   0.42
6070.16  1.37   0.42
6071.56  1.21   0.41
6072.95  0.97   0.42
6074.35  0.69   0.42
6075.75  0.46   0.41
6077.15  0.45   0.41
6078.55  0.54   0.41
6079.95  0.66   0.41
6081.35  0.81   0.41
6082.75  0.85   0.41
6084.15  0.84   0.41
6085.55  0.83   0.41
6086.95  0.80   0.41
6088.36  0.75   0.42
6089.76  0.72   0.41
6091.16  0.65   0.41
6092.56  0.55   0.41
6093.97  0.51   0.41
6095.37  0.50   0.41
6096.77  0.56   0.41
6098.18  0.74   0.42
6099.58  0.75   0.42
6100.99  0.45   0.41
6102.39  0.19   0.41
6103.80  0.30   0.41
6105.20  0.59   0.42
6106.61  0.77   0.42
6108.01  0.62   0.42
6109.42  0.31   0.41
6110.83  0.36   0.42
6112.23  0.59   0.43
6113.64  0.74   0.43
6115.05  0.81   0.44
6116.46  0.58   0.43
6117.87  0.30   0.42
6119.28  0.33   0.42
6120.68  0.50   0.42
6122.09  0.52   0.41
6123.50  0.60   0.41
6124.91  0.76   0.41
6126.32  0.66   0.41
6127.74  0.39   0.40
6129.15  0.46   0.40
6130.56  0.76   0.41
6131.97  0.68   0.41
6133.38  0.38   0.40
6134.79  0.17   0.40
6136.21  -0.00  0.40
6137.62  -0.02  0.40
6139.03  0.29   0.42
6140.45  0.39   0.42
6141.86  0.22   0.42
6143.28  0.13   0.42
6144.69  0.17   0.43
6146.11  0.29   0.43
6147.52  0.36   0.43
6148.94  0.22   0.41
6150.35  0.00   0.40
6151.77  -0.01  0.41
6153.19  0.07   0.42
6154.60  0.11   0.42
6156.02  0.07   0.42
6157.44  0.09   0.43
6158.86  0.40   0.42
6160.27  0.62   0.42
6161.69  0.39   0.42
6163.11  0.12   0.43
6164.53  0.18   0.42
6165.95  0.35   0.41
6167.37  0.33   0.41
6168.79  0.34   0.40
6170.21  0.62   0.43
6171.63  0.84   0.45
6173.05  0.77   0.45
6174.47  0.56   0.42
6175.90  0.38   0.41
6177.32  0.33   0.41
6178.74  0.40   0.41
6180.16  0.53   0.41
6181.59  0.43   0.40
6183.01  0.12   0.39
6184.43  -0.04  0.40
6185.86  -0.08  0.40
6187.28  -0.19  0.40
6188.71  -0.24  0.39
6190.13  0.03   0.40
6191.56  0.25   0.40
6192.98  0.31   0.40
6194.41  0.41   0.41
6195.84  0.45   0.42
6197.26  0.29   0.41
6198.69  0.27   0.41
6200.12  0.47   0.41
6201.55  0.48   0.42
6202.97  0.40   0.43
6204.40  0.41   0.45
6205.83  0.41   0.43
6207.26  0.36   0.41
6208.69  0.31   0.40
6210.12  0.33   0.40
6211.55  0.41   0.41
6212.98  0.37   0.40
6214.41  0.30   0.40
6215.84  0.35   0.41
6217.27  0.42   0.40
6218.71  0.48   0.40
6220.14  0.37   0.40
6221.57  0.18   0.41
6223.00  0.07   0.43
6224.44  -0.06  0.43
6225.87  -0.17  0.40
6227.30  -0.26  0.39
6228.74  -0.30  0.38
6230.17  -0.15  0.39
6231.61  -0.03  0.39
6233.04  -0.04  0.40
6234.48  -0.08  0.44
6235.91  0.00   0.50
6237.35  0.31   0.53
6238.78  0.53   0.51
6240.22  0.51   0.47
6241.66  0.51   0.44
6243.10  0.53   0.45
6244.53  0.28   0.43
6245.97  -0.18  0.41
6247.41  -0.44  0.40
6248.85  -0.26  0.39
6250.29  0.08   0.40
6251.73  0.20   0.40
6253.17  0.07   0.39
6254.61  0.05   0.39
6256.05  0.12   0.40
6257.49  0.08   0.44
6258.93  0.10   0.52
6260.37  0.22   0.52
6261.81  0.32   0.46
6263.25  0.27   0.42
6264.70  0.16   0.42
6266.14  0.17   0.44
6267.58  0.17   0.44
6269.02  0.10   0.42
6270.47  0.04   0.41
6271.91  -0.03  0.40
6273.36  0.04   0.39
6274.80  0.16   0.40
6276.25  0.14   0.42
6277.69  0.22   0.42
6279.14  0.47   0.44
6280.58  0.54   0.42
6282.03  0.52   0.41
6283.48  0.51   0.40
6284.92  0.33   0.40
6286.37  0.15   0.45
6287.82  0.15   0.50
6289.27  0.04   0.55
6290.72  -0.26  0.52
6292.16  -0.45  0.45
6293.61  -0.53  0.42
6295.06  -0.60  0.41
6296.51  -0.46  0.41
6297.96  -0.27  0.43
6299.41  -0.35  0.58
6300.86  -0.39  0.81
6302.31  -0.12  0.88
6303.76  0.13   0.72
6305.22  0.15   0.51
6306.67  0.21   0.48
6308.12  0.22   0.50
6309.57  0.04   0.49
6311.03  -0.16  0.42
6312.48  -0.10  0.38
6313.93  0.21   0.36
6315.39  0.65   0.36
6316.84  0.82   0.36
6318.30  0.71   0.36
6319.75  0.71   0.36
6321.21  0.71   0.39
6322.66  0.48   0.40
6324.12  0.21   0.40
6325.57  0.04   0.37
6327.03  -0.22  0.35
6328.49  -0.46  0.38
6329.95  -0.32  0.43
6331.40  0.07   0.48
6332.86  0.28   0.45
6334.32  0.10   0.40
6335.78  -0.20  0.36
6337.24  -0.21  0.34
6338.70  0.10   0.34
6340.16  0.49   0.35
6341.62  0.76   0.35
6343.08  0.78   0.37
6344.54  0.58   0.36
6346.00  0.44   0.36
6347.46  0.45   0.37
6348.92  0.33   0.38
6350.38  0.26   0.38
6351.85  0.44   0.38
6353.31  0.57   0.35
6354.77  0.39   0.35
6356.24  0.06   0.38
6357.70  0.02   0.40
6359.16  0.14   0.39
6360.63  0.02   0.36
6362.09  0.01   0.37
6363.56  0.30   0.44
6365.02  0.59   0.52
6366.49  0.58   0.49
6367.96  0.29   0.41
6369.42  0.15   0.35
6370.89  0.45   0.34
6372.36  0.66   0.34
6373.82  0.53   0.34
6375.29  0.44   0.34
6376.76  0.44   0.34
6378.23  0.32   0.34
6379.70  0.26   0.35
6381.17  0.27   0.36
6382.63  0.29   0.35
6384.10  0.30   0.35
6385.57  0.11   0.37
6387.05  -0.06  0.38
6388.52  0.01   0.39
6389.99  0.02   0.37
6391.46  -0.06  0.35
6392.93  0.06   0.34
6394.40  0.35   0.35
6395.88  0.52   0.35
6397.35  0.54   0.33
6398.82  0.44   0.33
6400.30  0.33   0.33
6401.77  0.31   0.32
6403.24  0.40   0.35
6404.72  0.38   0.35
6406.19  0.24   0.34
6407.67  0.19   0.34
6409.14  0.17   0.34
6410.62  0.19   0.34
6412.10  0.27   0.34
6413.57  0.33   0.35
6415.05  0.36   0.36
6416.53  0.32   0.36
6418.00  0.17   0.35
6419.48  -0.04  0.35
6420.96  -0.04  0.35
6422.44  0.14   0.36
6423.92  0.24   0.35
6425.40  0.32   0.34
6426.88  0.47   0.34
6428.36  0.46   0.34
6429.84  0.29   0.34
6431.32  0.23   0.34
6432.80  0.28   0.34
6434.28  0.14   0.34
6435.76  -0.13  0.33
6437.24  -0.17  0.33
6438.73  0.14   0.33
6440.21  0.46   0.34
6441.69  0.51   0.34
6443.18  0.41   0.33
6444.66  0.33   0.34
6446.14  0.38   0.34
6447.63  0.36   0.34
6449.11  0.22   0.34
6450.60  0.29   0.34
6452.08  0.49   0.36
6453.57  0.56   0.36
6455.06  0.56   0.34
6456.54  0.48   0.33
6458.03  0.37   0.35
6459.52  0.25   0.35
6461.00  0.21   0.35
6462.49  0.26   0.35
6463.98  0.28   0.36
6465.47  0.29   0.39
6466.96  0.30   0.41
6468.45  0.26   0.40
6469.94  0.25   0.37
6471.43  0.39   0.38
6472.92  0.48   0.39
6474.41  0.44   0.36
6475.90  0.38   0.33
6477.39  0.28   0.33
6478.88  0.15   0.34
6480.37  0.22   0.34
6481.87  0.52   0.33
6483.36  0.82   0.32
6484.85  0.92   0.33
6486.34  0.76   0.32
6487.84  0.51   0.32
6489.33  0.37   0.32
6490.83  0.25   0.32
6492.32  0.14   0.31
6493.82  0.15   0.32
6495.31  0.16   0.31
6496.81  0.05   0.32
6498.30  0.20   0.36
6499.80  0.79   0.47
6501.30  1.14   0.46
6502.79  0.81   0.39
6504.29  0.36   0.36
6505.79  0.24   0.37
6507.29  0.18   0.35
6508.79  0.19   0.34
6510.28  0.30   0.32
6511.78  0.32   0.32
6513.28  0.17   0.32
6514.78  0.02   0.32
6516.28  0.05   0.32
6517.78  0.06   0.31
6519.29  0.00   0.31
6520.79  -0.00  0.31
6522.29  0.03   0.33
6523.79  -0.01  0.34
6525.29  -0.05  0.34
6526.80  0.09   0.32
6528.30  0.29   0.31
6529.80  0.34   0.31
6531.31  0.20   0.31
6532.81  0.06   0.36
6534.31  0.05   0.41
6535.82  -0.04  0.40
6537.32  -0.12  0.35
6538.83  -0.08  0.31
6540.34  0.09   0.31
6541.84  0.27   0.31
6543.35  0.24   0.33
6544.85  0.09   0.35
6546.36  0.01   0.35
6547.87  0.09   0.34
6549.38  0.25   0.33
6550.89  0.27   0.32
6552.39  0.20   0.35
6553.90  0.25   0.40
6555.41  0.39   0.44
6556.92  0.42   0.42
6558.43  0.19   0.33
6559.94  -0.02  0.30
6561.45  -0.16  0.32
6562.96  -0.35  0.36
6564.48  -0.34  0.38
6565.99  -0.14  0.36
6567.50  -0.05  0.33
6569.01  -0.06  0.32
6570.52  0.06   0.33
6572.04  0.17   0.33
6573.55  0.01   0.31
6575.06  -0.24  0.30
6576.58  -0.15  0.33
6578.09  0.06   0.38
6579.61  0.07   0.39
6581.12  -0.08  0.34
6582.64  -0.22  0.31
6584.15  -0.20  0.30
6585.67  -0.08  0.30
6587.19  -0.02  0.30
6588.70  -0.12  0.30
6590.22  -0.30  0.29
6591.74  -0.41  0.30
6593.26  -0.34  0.30
6594.78  -0.17  0.30
6596.29  -0.12  0.31
6597.81  -0.17  0.32
6599.33  -0.18  0.32
6600.85  -0.19  0.31
6602.37  -0.29  0.30
6603.89  -0.28  0.32
6605.41  -0.02  0.35
6606.93  0.29   0.34
6608.46  0.34   0.32
6609.98  0.22   0.30
6611.50  0.18   0.30
6613.02  0.18   0.30
6614.55  0.11   0.30
6616.07  0.11   0.30
6617.59  0.22   0.30
6619.12  0.27   0.30
6620.64  0.20   0.30
6622.16  0.11   0.30
6623.69  0.15   0.30
6625.22  0.37   0.30
6626.74  0.59   0.31
6628.27  0.61   0.31
6629.79  0.43   0.31
6631.32  0.19   0.31
6632.85  -0.03  0.30
6634.37  -0.13  0.31
6635.90  0.03   0.32
6637.43  0.28   0.32
6638.96  0.39   0.30
6640.49  0.49   0.30
6642.02  0.62   0.31
6643.55  0.76   0.31
6645.08  0.91   0.31
6646.61  1.01   0.31
6648.14  1.03   0.31
6649.67  1.10   0.30
6651.20  1.24   0.31
6652.73  1.38   0.31
6654.26  1.38   0.31
6655.80  1.29   0.30
6657.33  1.29   0.31
6658.86  1.38   0.30
6660.40  1.66   0.31
6661.93  1.99   0.32
6663.46  2.10   0.32
6665.00  2.06   0.32
6666.53  2.07   0.31
6668.07  2.20   0.32
6669.60  2.45   0.32
6671.14  2.74   0.32
6672.68  2.90   0.32
6674.21  2.84   0.32
6675.75  2.69   0.31
6677.29  2.53   0.31
6678.82  2.57   0.30
6680.36  2.91   0.32
6681.90  3.31   0.31
6683.44  3.71   0.32
6684.98  3.94   0.32
6686.52  3.97   0.32
6688.06  3.95   0.32
6689.60  3.88   0.32
6691.14  3.80   0.32
6692.68  3.77   0.32
6694.22  3.89   0.32
6695.76  4.11   0.32
6697.30  4.25   0.33
6698.85  4.27   0.33
6700.39  4.25   0.34
6701.93  4.17   0.33
6703.48  4.05   0.33
6705.02  3.94   0.33
6706.56  3.89   0.33
6708.11  3.92   0.33
6709.65  3.93   0.33
6711.20  3.97   0.33
6712.74  4.06   0.32
6714.29  4.09   0.33
6715.84  4.10   0.33
6717.38  4.13   0.33
6718.93  4.12   0.33
6720.48  4.16   0.33
6722.02  4.20   0.33
6723.57  4.15   0.34
6725.12  4.10   0.34
6726.67  4.06   0.33
6728.22  3.98   0.34
6729.77  3.87   0.34
6731.32  3.85   0.34
6732.87  3.91   0.35
6734.42  3.90   0.36
6735.97  3.74   0.33
6737.52  3.51   0.32
6739.07  3.36   0.32
6740.62  3.32   0.32
6742.17  3.38   0.32
6743.73  3.43   0.32
6745.28  3.37   0.33
6746.83  3.08   0.38
6748.39  2.73   0.43
6749.94  2.62   0.44
6751.50  2.80   0.39
6753.05  3.38   0.33
6754.61  4.22   0.31
6756.16  4.63   0.32
6757.72  4.33   0.31
6759.27  3.82   0.31
6760.83  3.61   0.31
6762.39  3.64   0.31
6763.94  3.66   0.31
6765.50  3.65   0.31
6767.06  3.55   0.32
6768.62  3.39   0.34
6770.18  3.24   0.37
6771.74  3.04   0.36
6773.29  3.01   0.34
6774.86  3.23   0.32
6776.42  3.46   0.32
6777.98  3.44   0.32
6779.54  3.37   0.31
6781.10  3.46   0.32
6782.66  3.53   0.31
6784.22  3.56   0.31
6785.78  3.54   0.33
6787.35  3.36   0.33
6788.91  3.16   0.32
6790.47  3.05   0.32
6792.04  2.95   0.33
6793.60  2.78   0.32
6795.17  2.63   0.30
6796.73  2.58   0.30
6798.29  2.45   0.30
6799.86  2.34   0.30
6801.43  2.36   0.30
6802.99  2.39   0.30
6804.56  2.40   0.30
6806.13  2.37   0.30
6807.69  2.28   0.30
6809.26  2.14   0.30
6810.83  2.03   0.30
6812.40  1.96   0.30
6813.97  1.91   0.30
6815.54  1.86   0.30
6817.11  1.83   0.29
6818.68  1.81   0.30
6820.25  1.73   0.30
6821.82  1.68   0.29
6823.39  1.77   0.29
6824.96  1.92   0.30
6826.53  2.01   0.32
6828.10  2.00   0.37
6829.67  1.93   0.45
6831.25  1.73   0.48
6832.82  1.39   0.44
6834.39  1.33   0.44
6835.97  1.52   0.45
6837.54  1.53   0.40
6839.12  1.53   0.34
6840.69  1.58   0.32
6842.27  1.50   0.33
6843.84  1.34   0.34
6845.42  1.22   0.32
6846.99  1.33   0.30
6848.57  1.47   0.30
6850.15  1.39   0.30
6851.73  1.14   0.30
6853.30  0.92   0.29
6854.88  1.01   0.29
6856.46  1.14   0.29
6858.04  1.11   0.28
6859.62  1.00   0.28
6861.20  0.85   0.31
6862.78  0.67   0.38
6864.36  0.65   0.50
6865.94  0.81   0.56
6867.52  0.93   0.51
6869.10  0.92   0.40
6870.68  0.88   0.40
6872.27  0.94   0.43
6873.85  1.03   0.41
6875.43  1.17   0.36
6877.02  1.17   0.35
6878.60  0.81   0.33
6880.18  0.45   0.33
6881.77  0.33   0.34
6883.35  0.49   0.34
6884.94  0.75   0.33
6886.52  0.81   0.31
6888.11  0.66   0.33
6889.69  0.40   0.37
6891.28  0.33   0.38
6892.87  0.57   0.37
6894.46  0.70   0.33
6896.04  0.59   0.31
6897.63  0.69   0.31
6899.22  0.97   0.32
6900.81  1.12   0.36
6902.40  1.10   0.39
6903.99  0.95   0.38
6905.58  0.65   0.35
6907.17  0.22   0.34
6908.76  -0.02  0.32
6910.35  0.16   0.31
6911.94  0.47   0.32
6913.53  0.60   0.37
6915.12  0.60   0.39
6916.72  0.59   0.34
6918.31  0.53   0.30
6919.90  0.26   0.30
6921.50  -0.00  0.34
6923.09  -0.04  0.40
6924.68  0.07   0.46
6926.28  0.23   0.44
6927.87  0.39   0.34
6929.47  0.59   0.29
6931.07  0.64   0.29
6932.66  0.43   0.28
6934.26  0.27   0.27
6935.85  0.44   0.27
6937.45  0.75   0.28
6939.05  0.88   0.31
6940.65  0.75   0.35
6942.25  0.49   0.36
6943.84  0.30   0.31
6945.44  0.43   0.28
6947.04  0.61   0.31
6948.64  0.57   0.37
6950.24  0.53   0.47
6951.84  0.50   0.48
6953.44  0.46   0.37
6955.05  0.40   0.30
6956.65  0.26   0.28
6958.25  0.19   0.29
6959.85  0.27   0.29
6961.45  0.45   0.29
6963.06  0.69   0.28
6964.66  0.81   0.28
6966.27  0.84   0.28
6967.87  0.88   0.29
6969.47  0.91   0.31
6971.08  0.83   0.34
6972.68  0.73   0.33
6974.29  0.67   0.30
6975.90  0.47   0.28
6977.50  0.19   0.31
6979.11  0.02   0.37
6980.72  0.06   0.39
6982.32  0.31   0.35
6983.93  0.43   0.29
6985.54  0.47   0.28
6987.15  0.55   0.29
6988.76  0.57   0.28
6990.37  0.59   0.28
6991.98  0.61   0.28
6993.59  0.58   0.28
6995.20  0.51   0.28
6996.81  0.41   0.28
6998.42  0.32   0.28
7000.03  0.32   0.28
7001.64  0.43   0.28
7003.26  0.50   0.29
7004.87  0.57   0.31
7006.48  0.64   0.31
7008.10  0.58   0.28
7009.71  0.57   0.28
7011.32  0.54   0.31
7012.94  0.43   0.33
7014.55  0.41   0.32
7016.17  0.40   0.29
7017.78  0.22   0.27
7019.40  0.12   0.26
7021.02  0.24   0.27
7022.63  0.39   0.27
7024.25  0.50   0.27
7025.87  0.59   0.27
7027.49  0.62   0.27
7029.10  0.52   0.27
7030.72  0.33   0.27
7032.34  0.21   0.27
7033.96  0.21   0.26
7035.58  0.32   0.27
7037.20  0.36   0.27
7038.82  0.35   0.26
7040.44  0.48   0.27
7042.06  0.65   0.29
7043.69  0.60   0.29
7045.31  0.44   0.28
7046.93  0.31   0.29
7048.55  0.15   0.31
7050.18  0.02   0.32
7051.80  0.07   0.31
7053.42  0.24   0.30
7055.05  0.43   0.30
7056.67  0.62   0.29
7058.30  0.77   0.29
7059.92  0.85   0.28
7061.55  0.92   0.29
7063.18  0.99   0.30
7064.80  0.96   0.30
7066.43  0.78   0.30
7068.06  0.50   0.31
7069.68  0.26   0.31
7071.31  0.17   0.31
7072.94  0.16   0.30
7074.57  0.29   0.28
7076.20  0.45   0.28
7077.83  0.48   0.28
7079.46  0.42   0.28
7081.09  0.41   0.28
7082.72  0.54   0.28
7084.35  0.77   0.29
7085.98  0.96   0.29
7087.61  0.97   0.28
7089.24  0.80   0.29
7090.88  0.59   0.30
7092.51  0.47   0.29
7094.14  0.48   0.28
7095.78  0.48   0.27
7097.41  0.45   0.27
7099.05  0.50   0.27
7100.68  0.62   0.27
7102.32  0.71   0.27
7103.95  0.63   0.27
7105.59  0.53   0.27
7107.22  0.55   0.27
7108.86  0.54   0.27
7110.50  0.41   0.27
7112.14  0.29   0.27
7113.77  0.37   0.27
7115.41  0.44   0.27
7117.05  0.36   0.26
7118.69  0.32   0.26
7120.33  0.29   0.26
7121.97  0.24   0.26
7123.61  0.26   0.26
7125.25  0.29   0.27
7126.89  0.36   0.27
7128.53  0.49   0.28
7130.17  0.51   0.28
7131.81  0.44   0.28
7133.46  0.39   0.28
7135.10  0.45   0.28
7136.74  0.55   0.27
7138.39  0.54   0.27
7140.03  0.43   0.27
7141.67  0.29   0.27
7143.32  0.23   0.28
7144.96  0.25   0.29
7146.61  0.22   0.30
7148.25  0.14   0.29
7149.90  0.11   0.28
7151.55  0.18   0.28
7153.19  0.29   0.27
7154.84  0.30   0.27
7156.49  0.28   0.27
7158.14  0.30   0.27
7159.79  0.30   0.27
7161.43  0.30   0.28
7163.08  0.43   0.28
7164.73  0.54   0.28
7166.38  0.62   0.28
7168.03  0.78   0.29
7169.68  0.84   0.29
7171.33  0.76   0.29
7172.99  0.57   0.29
7174.64  0.36   0.28
7176.29  0.43   0.29
7177.94  0.56   0.29
7179.60  0.58   0.29
7181.25  0.75   0.29
7182.90  0.83   0.29
7184.56  0.58   0.29
7186.21  0.26   0.30
7187.87  0.17   0.29
7189.52  0.29   0.31
7191.18  0.37   0.30
7192.83  0.40   0.30
7194.49  0.48   0.31
7196.15  0.48   0.31
7197.80  0.43   0.30
7199.46  0.44   0.30
7201.12  0.51   0.31
7202.78  0.56   0.31
7204.44  0.74   0.29
7206.10  0.92   0.29
7207.76  0.87   0.27
7209.41  0.79   0.27
7211.07  0.76   0.27
7212.74  0.74   0.27
7214.40  0.79   0.28
7216.06  0.83   0.28
7217.72  0.91   0.28
7219.38  1.00   0.28
7221.04  1.02   0.28
7222.71  0.99   0.28
7224.37  0.85   0.29
7226.03  0.60   0.28
7227.70  0.51   0.27
7229.36  0.69   0.27
7231.03  0.84   0.29
7232.69  0.84   0.29
7234.36  0.89   0.31
7236.02  0.84   0.31
7237.69  0.93   0.33
7239.36  1.37   0.45
7241.02  1.43   0.58
7242.69  0.82   0.66
7244.36  0.11   0.61
7246.03  0.05   0.63
7247.70  0.60   0.61
7249.37  0.76   0.46
7251.04  0.31   0.33
7252.70  0.11   0.33
7254.37  0.31   0.38
7256.05  0.56   0.38
7257.72  0.69   0.34
7259.39  0.65   0.30
7261.06  0.64   0.28
7262.73  0.78   0.28
7264.40  0.91   0.29
7266.08  0.88   0.29
7267.75  0.76   0.29
7269.42  0.70   0.30
7271.10  0.71   0.30
7272.77  0.73   0.30
7274.45  0.61   0.33
7276.12  0.55   0.53
7277.80  0.73   0.76
7279.47  0.96   0.71
7281.15  1.01   0.46
7282.83  0.78   0.35
7284.50  0.42   0.40
7286.18  0.38   0.49
7287.86  0.55   0.45
7289.54  0.58   0.34
7291.22  0.41   0.29
7292.90  0.25   0.29
7294.58  0.28   0.29
7296.26  0.40   0.33
7297.93  0.48   0.35
7299.62  0.55   0.32
7301.30  0.56   0.29
7302.98  0.52   0.31
7304.66  0.50   0.39
7306.34  0.53   0.41
7308.02  0.70   0.35
7309.71  0.83   0.30
7311.39  0.66   0.29
7313.07  0.42   0.30
7314.76  0.38   0.33
7316.44  0.42   0.50
7318.13  0.50   0.66
7319.81  0.50   0.60
7321.50  0.28   0.37
7323.19  0.11   0.28
7324.87  0.33   0.27
7326.56  0.39   0.27
7328.25  0.00   0.32
7329.93  -0.19  0.41
7331.62  0.04   0.46
7333.31  0.21   0.37
7335.00  0.19   0.29
7336.69  0.15   0.26
7338.38  -0.08  0.28
7340.07  -0.36  0.39
7341.76  -0.03  0.64
7343.45  0.68   0.73
7345.14  0.98   0.50
7346.83  0.64   0.32
7348.52  0.25   0.28
7350.21  0.20   0.27
7351.91  0.35   0.28
7353.60  0.59   0.29
7355.29  0.70   0.28
7356.99  0.65   0.29
7358.68  0.65   0.36
7360.38  0.61   0.43
7362.07  0.51   0.40
7363.77  0.58   0.32
7365.46  0.61   0.28
7367.16  0.29   0.30
7368.86  -0.04  0.42
7370.55  0.06   0.60
7372.25  0.57   0.59
7373.95  1.02   0.42
7375.64  1.11   0.31
7377.34  0.89   0.28
7379.04  0.61   0.27
7380.74  0.55   0.26
7382.44  0.66   0.27
7384.14  0.68   0.27
7385.84  0.70   0.27
7387.54  0.75   0.27
7389.24  0.66   0.27
7390.95  0.59   0.29
7392.65  0.77   0.37
7394.35  0.88   0.41
7396.05  0.67   0.37
7397.76  0.44   0.30
7399.46  0.39   0.30
7401.16  0.52   0.36
7402.87  0.88   0.51
7404.57  1.11   0.52
7406.28  0.97   0.38
7407.98  0.67   0.27
7409.69  0.48   0.26
7411.40  0.34   0.27
7413.10  0.36   0.28
7414.81  0.57   0.29
7416.52  0.68   0.28
7418.23  0.65   0.28
7419.93  0.62   0.28
7421.64  0.69   0.27
7423.35  0.78   0.27
7425.06  0.66   0.27
7426.77  0.45   0.26
7428.48  0.41   0.27
